,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
HELB,1.98,1.83,0.36,1.65,1.38,0.38,0.95
RAP1B,115.75,180.79,54.73,74.52,94.87,72.02,119.14
IL22,0,0,0,0,0,0,0
TSPAN8,0.24,0.17,5.02,496.36,0.14,1.09,1.65
BEST3,0.03,1.35,0,0.05,0,0.5,0.05
RAB3IP,5.12,15.88,9.73,39.58,16.92,12.39,16.54
PTPRB,0.47,0.23,0.59,7.81,0.03,0.47,0.34
DYRK2,14.06,6.95,3.75,13.48,8.48,5.47,8.12
YEATS4,42.77,42.13,23.42,23.68,19.93,18.57,22.16
TAS2R3,0.12,0.04,0.06,0.25,0.12,0.02,0.15
TAS2R4,0.11,0.2,0.21,0.54,0.15,0.17,0.13
TAS2R5,0.75,0.66,0.81,1.03,0.4,0.58,0.84
CRYGN,0.04,0,0,0.38,0,0,0
LRRC61,0.03,0.24,35.28,35.03,13.78,7.27,20.16
TRPV5,0,0.01,0,0.05,0.01,0,0
IDUA,6.55,0.82,0.57,7.67,10.6,2.32,23.53
FGFRL1,72.42,4.93,20.37,34.49,13.59,12.2,60.48
TMEM175,18.05,7.28,5.95,12.43,28.17,9.45,16.28
AUNIP,9.98,5.98,4.06,7.2,7.15,5.2,7.54
PIN1,91.97,53.43,51.99,52.04,55.5,88.56,67.04
FBXL12,18.63,6.43,23.45,15.4,10.27,11.91,13.41
EMC1,32.51,25.98,38.86,28.95,32.99,43.04,25.27
PLA2G5,0.04,0,0,0,0,0,0
UBR4,88.13,79.3,57.08,96.71,40.8,78.99,60.51
HP1BP3,131.69,95.33,89.57,150.19,95.62,90.11,118.92
ADGRE2,5.52,0.43,0.01,0.01,0.2,2.23,0.04
SIN3B,27.55,8.59,10.67,12.13,37.09,18.45,24.34
OR7A10,0,0,0,0,0,0,0
SLC35E1,32.84,10.74,14.47,12.79,29.72,23.52,22.79
EPS15L1,26.34,9.38,12.62,8.34,40.23,12.41,23.26
KLF2,2.05,0.78,0.11,0.39,0.68,0.59,7.93
OR7C2,0,0,0,0,0,0,0
OR7C1,0.08,0,0,0,0,0,0
F2RL3,0.01,0,0.01,0.01,0.01,0.01,1.3
UQCR11,66.73,49.33,58.4,61.27,68.23,86.45,99.33
GFER,18.98,25.5,31.76,17.04,22.81,11.9,27.49
SYNGR3,0.69,2.33,1.3,0.46,4.41,0.51,0.52
PKMYT1,36.26,23.82,17.9,35.98,49.06,32.03,44.57
WFIKKN1,0.16,0.05,2.64,0.59,0.29,0.11,0.18
WDR24,9.53,2.41,3.2,5.5,6.29,4.59,2.38
FBXL16,0.06,0.7,2.96,0.75,9.44,1.82,0.23
CHTF18,27.81,7.73,10.35,38.32,27.66,20.85,14.71
GNG13,0.28,0.05,0.02,0.4,5.41,0.27,0.22
TUBBP1,1.99,2.2,1.32,1.17,0.87,1.75,1.47
MACF1,78.11,55.8,41.41,51.48,22.13,39.48,199.22
SMARCA4,121.14,4.93,44.55,51.44,93.02,62.41,92.56
KDM4B,6.61,2.28,6.9,4.86,9.71,6.92,9.75
TICAM1,8.11,2.85,3.47,4.73,3.56,8.53,9.46
METTL25,2.75,3.11,2.24,2.45,3.44,1.83,2.91
IL17B,0.06,0.05,0.63,0,0.07,0.12,0
EMC6,84.49,65.01,78.19,57.8,116.62,53.72,49.18
OR1E2,0,0,0,0,0,0,0
METTL16,16.72,30.22,9.05,10.35,17.36,4.9,8.71
TUBA4A,0.6,480.14,7,94.37,3.5,96.86,49.1
VIL1,0.27,1.91,222.31,108.06,0.52,0.33,0.96
AAMP,105.23,76.72,132.34,129.38,155.81,95.16,138.12
PNKD,37.91,46.01,46.68,50.6,71.26,60.29,54.04
TNFRSF19,30.26,0.62,37.16,0.05,0.08,5.78,8.91
RNF6,29.11,31.88,14.56,56.26,34.12,20.17,27.66
ECHS1,111.02,106.27,100.27,171.78,212.81,78.42,155.01
ZNF835,0.49,0,0.01,0,0,0,0
AKAP9,21.63,14.95,11.1,29.25,27.61,15.85,45.27
GNG11,14.86,19.85,0.03,0.04,0.02,10.97,1.02
SEM1,561.32,214.42,413.29,636.8,558.91,581.87,566.58
GNGT1,0.21,0.01,0,0.83,0.59,0,2.87
HIP1,21.89,12.06,3.33,1.03,4.8,2.53,3.94
PTPN12,65.25,54.04,31.55,47.23,19.64,32.94,45.61
POR,25.64,60.53,176.52,38.27,52.58,51.96,71.01
FGL2,0.04,0,0.41,0.02,0,0.01,0.19
STYXL1,27.23,33.97,11.49,40.43,35.81,51.79,74.09
STEAP4,0.01,0.01,0,3.78,1.23,2.52,7.39
GNAI1,5.75,21.41,4.02,27.48,0.83,12.66,7.1
PMS2P3,11.73,4.01,6.1,12.73,10.55,7.68,13.76
PEX1,9.59,7.22,5.34,10.7,11.7,6.79,16.51
MTERF1,23.67,14.71,5.67,13.05,10.04,10.71,20.39
SGCE,22.9,55.67,28.11,0.22,0.11,38.98,56.5
RBM48,12.21,5.69,4.68,9.37,8.53,7.83,8.73
CASD1,5.27,13.5,11.21,5.2,6.38,7.36,16.83
ZNF780B,13.5,4.73,5.15,14.98,8.54,1.56,21.17
LRFN1,2.95,2.36,0.61,0.3,1,1.24,1.23
ZFP36,10.94,11.82,6.31,44.08,25.71,4.78,79.68
SRD5A3,5.93,5.45,5.28,3.3,14.92,13.4,12.18
SPINK2,0.06,0,0,0.07,0.31,0.5,0.85
RASL11B,0.04,0.08,0.02,0.04,1,0.12,0.97
PAICS,269.84,202.9,163.48,213.13,128.88,192.16,183.95
KDR,3.45,0,0.01,0,0.02,0.84,0.15
PPAT,22.89,22.32,19.23,22.85,18.41,15.98,21.93
TUBGCP6,10.26,4.49,9.37,12.36,11.99,8.92,13.77
ADM2,0.92,0.36,2.25,1.53,4.26,0.34,2.28
DGCR6L,29.06,18.46,18.76,47.39,42.54,31.63,52.17
DGCR8,17.09,9.86,13.16,44.11,15.49,12.15,28.64
ASPHD2,1.26,0.91,0.04,0.08,0.16,1.3,2.93
VPREB3,0,0.3,0,0,0.39,0.19,1.13
SDF2L1,31.77,17.59,57.31,45.13,121.34,68.19,31.44
GAL3ST1,0,11.39,7.91,3.68,0.04,0.05,0.63
YWHAH,47.7,93.71,46.77,72.89,55.74,60.93,80.88
RFPL1,0,0.01,0,0,0.02,0,0
RFPL2,0.08,0.1,0.02,0,0.01,0.02,0
C22orf24,0.11,0.02,0.15,0.16,0.09,0.73,0
POM121L9P,0.02,0.06,0.09,0,0.05,0,0.19
GNAZ,0.89,0.99,8.48,1.16,1.69,2.6,0.65
MGAT3,0.42,0.32,0.04,1.95,0.03,0.01,5.66
ADORA2A,0.3,0.78,6.05,0.1,4.94,0.18,1.67
ATF4,389.76,233.81,477.53,429.93,422.61,121.64,319.83
A4GALT,5.53,3.42,0.26,10.19,25.99,0.19,12.02
RFPL3,0,0,0,0,0.04,0.04,0.08
CDC42EP1,1.72,14.73,57.43,22.04,3.09,17.01,10.83
APOL3,1.62,0,2.84,0.99,0.04,0.26,19.8
MCHR1,0.02,0,0.34,0.03,0.01,0.02,0.13
TPST2,5.18,4.89,10.61,5.08,3.34,4.87,7.19
BAIAP2L2,24.85,3.97,8.11,10.83,0.19,0,0.72
MPST,12.05,26.28,102.48,42.56,23.82,15.65,24.45
GALR3,0,0,0.1,0,0.02,0,0
TST,15.12,21.44,54.51,69.79,114.78,12.49,39.2
APOL5,0,0,0,0,0,0,0
IGLL1,0,0,0,0,0,0.05,0.7
APOL2,11.12,8.92,22.25,8.82,6.77,3.97,12.57
RAC2,0.56,0.21,0.14,6.44,0.04,38.15,59.67
LIF,15.48,22.01,1.96,7.77,0.84,25.52,26.41
C22orf23,3.55,0.92,0.61,0.88,0.75,0.8,3.34
APOBEC3A,0,0,0,0,0.01,0,0
APOBEC3F,3.82,2.42,1.99,0.02,0.02,0.15,15.23
RIBC2,0,1.3,0.34,3.31,3.77,0.51,7.07
KRT17,0.29,2.04,0.61,6.99,2.07,9.89,22.58
TBC1D27P,0,0,0,0,0,0.02,0.03
EMC4,171.06,189.03,70.98,133.98,131.54,211.77,129.72
RNF112,0.12,0.13,0.02,0.04,0.12,0.18,0.66
SPECC1,13.12,34.02,3.55,3.67,20.04,11.43,20.66
CPA4,14.04,6,0.1,0.27,0.17,12.59,0.64
DOCK4,17.51,9.53,8.59,1.08,0.34,8.94,3.96
POT1,20.82,14.56,8.05,15.94,13.8,12.82,15.9
TAS2R16,0,0,0,0,0,0,0
ATP6V1F,187.84,137.67,101.61,141.32,271.45,266.76,117.84
LSM8,54.77,31.25,30.84,53.56,30.82,33.63,40.4
CDHR3,1.32,1.93,5.88,5.26,0.34,3.28,1.8
PRKRIP1,21.43,15.02,14.31,24.66,27.14,22.64,23.87
VGF,37.73,0.17,0.3,0.42,14.97,0.58,0.69
PODXL,16.73,22.08,0.48,46.23,18.31,65.89,21.89
FOXP2,0.03,0.01,0.08,0.16,0.31,0.01,0.25
STRIP2,3,2.02,2.82,1.92,0.83,4.82,2.21
IFT22,47.06,57.99,9.1,35.4,55.37,33.28,58.76
MKLN1,17.03,41.06,7.53,9.21,6.83,12.76,16.03
DNAJB9,7.86,9.79,11.49,8.53,17.73,6.63,7.51
FLNC,0.04,1.2,0.03,0.07,0.02,47.86,1.46
LRRC4,0.12,0.01,0.03,0.06,0.21,0.02,0.1
CALU,140.63,138.97,181.2,65.83,80.14,215.45,113.02
CCDC136,13.92,1.67,0.08,0.08,0.58,6.16,3.37
SMO,12.61,9.49,23.32,0.02,0.06,5.49,10.33
IRF5,0.73,4.14,1.56,4.94,3.85,4.63,5.57
LRRC17,1.3,0.1,0.12,0.08,0.23,0.12,0.17
KLHDC10,11.35,10.04,8.33,15.53,15.78,9.79,15.26
NDUFA5,72.18,42.95,44.67,66.17,78.99,50.25,82.9
FEZF1,0.02,0.01,0,0,0.01,0.17,1.15
OPN1SW,0.05,0,0.08,0.09,0.06,0.19,0
MRPS12,68.8,181.28,40.62,95.89,82.94,50.52,88.58
MYO1B,17.25,153.66,34.07,4.89,31.17,41.49,23.2
HOXD1,0.38,0.17,7.37,0.04,0,0.11,0.02
HOXD3,1.18,0.18,0.02,0.04,0,0.72,0.9
MTX2,32.85,45.52,44.7,43.35,36.9,39.22,61.89
PDE11A,0.12,3.86,0.33,0.02,0,0.03,0.37
CHN1,16.03,16.16,1.71,0.3,10.43,7.81,6.8
GAD1,2.96,0.16,0.19,3.69,0.93,4.26,6.45
EIF2S2P4,7.52,5.3,6.79,7.48,4.9,4.03,5.12
OSGEPL1,8.16,7.47,4.29,3.93,3.77,6.57,5.3
ORMDL1,29.6,53.51,35.83,31.97,37.55,47.69,57.61
HAT1,66.35,97.45,57.88,78.09,78.31,65.69,73.24
HOXD9,3.69,0.36,0.02,0.04,0,0.03,0.88
HOXD10,0.83,2.57,0.04,0,0.01,0.02,2.96
HOXD11,0.23,1.71,0,0.02,0,0.01,1.9
HOXD13,5.84,0.23,0,0.65,0.01,0.35,0
HERC2,47.58,29.67,15.42,49.89,25.26,25.23,47.68
SNRPN,21.59,14.65,8.77,0.04,0,6.31,0.07
PSMG2,50.8,58.87,40.51,86.87,45.54,63.04,108.29
TWSG1,10.4,26.03,5.1,10.44,3.54,41.42,52.65
ARHGAP22,1.33,2.09,0.1,0.24,0.05,11.37,0.85
WDFY4,0.04,0.03,0,0.09,0.02,0.01,0.1
EIF2AK4,36.83,22.53,39.39,9.96,9.18,40.6,27.19
MYO5C,0.8,9.46,10.59,18.58,35.01,6.18,25.33
CGNL1,0.02,1.65,7.02,0.42,0.2,0.17,4.01
TMOD2,2.45,1.39,0.02,0.27,0.48,0.35,0.62
TTBK2,4.07,1.4,1.43,3.66,1.15,1.72,3.76
ELL3,1.12,1.52,3.55,47.09,17,7.96,5.9
CCDC32,23,14.1,12.2,48.27,26.4,14.48,41.52
INO80,14.09,8.81,8.36,22.51,11.88,11.03,11.48
ICE2,16.61,27.32,10.88,24.3,10.12,8.12,24.53
DLL4,0.13,0.08,0.32,5.86,0.88,0.5,0.04
ALDH1A2,0.03,0.19,0.04,0.02,6.21,0.2,8.64
MINDY2,4.5,3.73,3.51,3.49,2.02,0.97,8.02
IVD,37.35,6.49,46.41,66.34,61.14,26.5,51.31
KNSTRN,85.81,43.59,28.79,56.1,38.05,73.26,40.04
DUT,106.83,64.85,58.56,63.87,50.7,53.94,154.09
CHAC1,4.24,3.24,0.06,22.83,16.98,3.41,4.5
CLN6,40,42.13,31.13,91.1,65.12,20,62.54
ARPP19,78.47,94.97,46.75,57.98,117.29,29.28,72.1
VPS13C,5.93,17.36,6.56,5.99,6.3,3.9,15.81
CALML4,6.87,10.24,6.13,132.17,15.59,3.93,14.69
ISLR,5.27,0.23,0.02,0.16,0,0.01,0.23
THAP10,3.45,5.7,0.62,4.29,3.34,2.63,7.88
LOXL1,0.04,0.4,0.21,5.11,6.49,56.71,15.6
ACKR4,0.25,0.1,0.05,0.9,0.15,0.1,0.7
ANAPC13,65.9,57.78,52.8,41.31,49.86,18.14,101.59
MBD4,25.7,21.94,8.21,29.13,31.69,8.74,24.71
COPB1,67.85,129.75,59.84,75.21,67.68,64.33,98.41
PSMA1,189.78,257.1,127.1,244.22,158.8,138.35,232.72
SUMF2,157.31,75.16,33.49,123.25,178.08,65.32,119.87
PALLD,9.26,122.8,2,2.34,8.04,19.64,12.22
SPCS3,77.22,31.8,28,23.14,39.86,30.21,56.02
BBOX1,0,0,0,0,0.02,0,0
MYOD1,0,0,0,0,0,0.08,0
SERGEF,17.58,15.48,53.5,21.14,10,10.94,36.1
KCNC1,0.04,0.01,0.02,0,0.03,0.01,0
TPH1,0.79,0.11,0.31,0.15,0.09,0.2,0.17
CSRP3,0,0,0,0.05,0,0,0
E2F8,4.94,4.83,4.96,8.53,9.38,7.91,8.94
DCTD,103.19,61.67,73.19,55.92,26.4,47.12,98.53
SOX15,1.91,1.34,0.4,0.83,1.03,3.84,0.21
PIMREG,30.41,28.58,16.29,24.45,26.23,21,14.49
RPAIN,77.78,43.55,33.2,39.93,45.61,21.53,45.11
USP6,0.1,0.05,0.02,0.05,0.09,0.04,0.09
SHBG,0.37,0.18,2.93,0.12,0.08,0.23,0.11
PLD2,12.63,9.59,9.64,5.47,15.09,9.54,11.78
AIPL1,0.05,0,0,0,0,0,0
CD68,29.57,15.19,36.65,10.64,2.19,43.55,4.57
TXNDC17,388.55,262.02,134.77,191.89,329.09,322.9,153.5
ATP1B2,0.35,0.02,0.05,0,0.03,0.01,0.07
FXR2,46.34,34.03,11.07,14.41,36.43,18.32,23.23
KIF1C,21.11,43.38,52.66,48.59,28.61,38.52,15.25
MPDU1,159.97,161.81,79.81,50,84.35,60.17,57.88
PHF20L1,17.22,20.49,5.76,29.41,20.11,20.14,27.14
LRRC6,1.18,1.28,0.12,0.98,0.47,3.28,3.2
CCNT1,22.25,15.43,6.15,10.31,11.17,7.23,13.92
PUS7L,4.98,8.3,3.9,6.59,4.39,3.29,9.23
KRI1,51.77,15.6,10.35,18.36,24.43,32.48,39.35
ILF3,277.6,104,123.59,132.08,108.63,146.22,200.17
SLC44A2,34.95,4.44,3.53,54.28,104.8,88.12,227.07
AP1M2,7.93,39.06,33.92,76.94,174.47,23.34,228.25
CDKN2D,18.8,2.54,3.94,7.94,10.57,15.3,42.8
MTUS1,8.62,54.45,29.09,8.64,7.06,3.54,30.96
KLK14,0.16,0.15,0.04,0.33,0.22,0.61,0.04
SIGLEC9,0.01,0,0,0,0,0,0
KLK10,0.07,0.08,0.08,52.3,0.34,0.55,34.87
KLK8,0.03,0,0.13,4.29,0.47,0.34,5.36
NGDN,77.4,73.15,128.4,28.11,63.16,55.75,65.98
RIPK3,0.09,0,0.06,9.7,0.01,0,10.99
ADCY4,0.13,0,0.06,1.08,0.05,0.03,2.43
RAB2B,10.87,10.87,22.22,6.39,16.38,7.51,19.47
BCL2L2,22.97,11.39,40.67,19.09,25.45,13.22,55.52
AJUBA,11.95,63.45,82.29,22.57,14.07,32.13,72.93
DTD2,8.48,23.16,28.08,5.15,15.67,14.91,9.37
PARP2,33.41,34.34,34.37,21.33,40.55,33.46,36.91
HEATR5A,16.2,32.34,32.72,6.36,13.21,12.08,17.17
FOXA1,0.39,3.98,46.66,62.18,110.1,29.16,0.61
SNX6,46.08,138.85,98.25,31.88,64.31,67.5,132.59
EAPP,33.39,33,52.48,16.99,48.08,23.66,38.28
EGLN3,0.4,5.07,4.02,8.67,2.68,0.7,4.68
MIS18BP1,18.3,23.34,9.71,14.46,20.42,17.7,37.43
NRL,0.6,0.53,2.09,1.37,0.92,0.31,0.7
RNASE1,0.21,0.78,0.14,1.17,0.07,0.02,286.5
NEDD8,334.36,319.26,612.71,198.63,515.82,371.85,375.54
DAD1,213.52,462.22,448.83,157.6,333.35,324.27,380.93
TEP1,10.95,6.45,5.11,10.73,16.55,3.88,23.25
EPB41L4A,0.43,3.4,0.07,0.55,0.08,0.08,0.43
CDO1,2.19,0,3.05,0,0.1,0,0.04
REEP5,57.67,90.22,39.26,34.81,176.14,61.04,101.75
ITFG1,25.85,40.08,37.16,11.9,20.87,13.49,40.1
QRICH2,0.26,0.36,2.71,0.07,0.27,0.53,1.61
FOXJ1,0.03,0.09,3.07,1.31,0.01,0,38.66
SEC14L1,23.57,20.09,25.52,21.66,17.29,33.11,54.37
RHBDF2,5.89,23.77,12.89,14.21,14.5,19.7,50.08
AANAT,0.04,0.29,0,0.04,0.04,0.01,0.69
ARHGEF6,7.32,0.13,0.02,0.04,1.65,1.54,0.2
MAP7D3,12.79,9.83,0.01,3.3,6.63,0.31,6.89
FGF13,15.1,0.05,0.2,0.08,1.53,0.29,0.14
ASH2L,47.12,22.34,32.95,9.09,25.64,13.92,22.06
TTI2,12.35,12,4.75,3.27,6.23,4.1,6.07
ART1,0,0,0,0.02,0,0,0
CHRNA10,0.39,0.48,0.21,1.53,0.4,0.66,0.88
CDKN1C,9.88,0.1,0,1.41,0.04,3.04,46.02
SGO1,14.66,18.76,6.25,7.12,12.07,10.76,10.04
TTTY1B,0,0,0,0,0,0,0
RPS4Y1,0.56,287.33,485.99,0.47,0.26,0.47,495.02
TTTY1,0,0,0,0,0,0,0
VCY1B,0,0.06,0,0,0,0.03,0
VCY,0,0.06,0,0,0,0.03,0
CDY2B,0,0,0,0,0,0,0
CDH15,0.05,0.04,1.47,0.07,0.66,0.51,0.03
KLF16,5.16,3.75,10.43,12.63,6.07,4.91,8.03
PGAP6,27.55,14.61,39.71,47.64,39.91,18.91,27.29
DOHH,18.51,6.26,14.1,15.1,12.56,11.88,10.22
MAU2,36.3,6.88,14.21,15.3,26.59,11.46,21.26
SHC2,0.4,0.12,6.97,0.12,0.99,0.45,0.24
PLPPR3,0.03,0.72,0.07,0.1,1.16,0.02,0.21
INS-IGF2,0,0,0,0,0,0,0
ABHD17A,19.46,7.71,26.37,19.26,17.79,12.21,21.17
LBP,0.02,0.04,0,0,0.01,0,0.08
SYT5,2.67,0.12,0.16,0.15,0.06,0.02,0.09
TNNI3,0.35,4.19,5.65,12.15,0.3,12.62,7.08
CBFA2T3,0.01,0.03,0.01,0.66,17.48,0.02,0.45
GAMT,24.46,12.24,125.78,0.61,5.58,25.31,12.6
PUDP,0.07,27.9,14.41,4.62,11.33,9.49,29.16
ERMARD,12.08,7.17,3.54,8.09,14.12,10.48,18.32
PHF10,22.04,21.42,70.55,40.81,19.87,7.25,32.22
PRRG3,0,0.02,0,0,0,0,0.01
GALNT8,0.01,0.03,0.02,1.1,0,0,0
KCNA5,0,0,0,0,0,0,0
CRACR2A,15.79,2.94,0.08,17.84,2.45,0.01,7.05
NXNL2,0.02,0.28,0,0.02,2.6,0.23,1.27
STARD8,1,0.91,0.03,0.54,0.34,0.25,0.26
FAM155B,0.03,0.87,3.29,0,2.39,0,0.16
GDPD2,0.1,0,0.02,0.09,0.27,0.04,0.13
SAT1,66.87,393.39,310.68,87.75,61.17,70.35,1622.5
GNL3L,18.02,14.22,6.79,22.23,21.21,6.63,15.42
SH3BP4,10.15,15.64,32.63,19.42,11.32,11.32,61.94
MOSPD2,13.88,8.01,2.17,3.53,4.86,4.56,9.97
DOCK6,7.46,4.82,8.29,12.71,22.39,9.98,29.02
ECSIT,45.67,25.28,28.66,20.75,25,33,41.12
LDLR,106.17,26.41,37.68,35.83,61.24,60.14,179.63
ELOF1,153.68,66.8,40.19,41.72,122.6,110.24,92.8
TSPAN16,0.06,0,0,0.04,0.02,0,0
ANGPTL8,0,0.03,19.4,0.04,0.13,0,0
PRKCSH,455.44,95.53,179.84,180.3,286.94,273.33,313.16
CNN1,0.14,1,1.1,0,0.12,0.08,0.51
CDC16,43.39,38.37,15.92,34.42,20.61,22.46,40.38
ZSCAN10,0.01,0.05,0.04,0.08,0.02,0,0
THEM6,12.23,7.16,25.95,31.76,66.92,34.28,32.84
NECTIN2,15.51,47.77,73.47,158.05,139.39,37.42,66.62
APOE,1.61,5.36,1070.7,0.64,5.3,5.79,12.23
TOMM40,80.24,132.91,78.47,138.58,95.51,63.38,49.78
APOC1,18.17,143.43,923.86,6.54,6.27,5.03,7.9
GADD45G,0.08,0.26,0.04,2.15,5.59,0.22,2.68
LRCH2,1.36,0.05,0.01,0.01,0,0.08,0.03
DPP6,0.01,0,0,0,0,0,0.02
XPO7,36.94,37.44,23.12,16.18,22.57,17.94,31.37
ACE2,0.04,0.04,1.49,0.08,0.04,0.05,0.34
FAM98C,7.8,9.22,5.86,19.69,26.13,9.02,20.09
SAFB2,62.31,20.08,28.11,34.86,39.89,38.23,40.64
RPL36,1136.1,392.46,490.18,732.08,763.73,795.58,571.41
ATP8B3,1.09,2.61,1.84,0.44,0.48,2.83,6.09
GDF1,1.53,0.21,0.86,0.03,0.92,0.04,0.21
NCAN,0.02,0.01,0.01,0.01,0.01,0.02,0.02
KIF1A,2.58,0.45,0.13,0.02,0.69,0.03,3.03
GTPBP3,37.39,8.75,30.16,15.53,20.35,27.38,28.58
PLVAP,0,0,0,0,0,0,0.02
BST2,2.17,0.43,60.4,99.67,3.18,1.22,29.91
SLC27A1,12.09,1.06,3.63,1.68,2.87,3.25,15.5
NSUN5,41.42,29.2,20.2,34.98,44.3,24.14,41.56
USHBP1,0.08,0.01,0.46,0,0,0.01,0.28
COLGALT1,94.04,50.94,57.9,40.18,22.06,42.74,59.03
DDA1,279.62,70.05,76.53,73.04,83.14,98.47,102.95
MRPL34,98.06,30.81,61.45,36.94,51.53,76.39,52.78
PGLS,51.21,19.38,33.14,39.9,32.59,44.56,75.21
LSM7,154.41,88.66,143.69,174.18,111.87,138.05,98.83
TULP4,2.85,1.4,4.24,4.24,3.53,1.09,4.7
SNX9,13.06,12.91,16.15,7.92,7.38,7.41,38.8
RTN4IP1,8.04,12.79,8.06,7.17,8.52,4.88,4.99
QRSL1,8.34,9.35,6.84,8.42,8.21,5.71,9.33
MTRES1,13.03,8.59,6.43,15.36,16.49,5.46,29.47
RSPH3,2.57,1.42,2.06,2.75,2.76,1.49,16.01
MAS1,0,0,0,0,0,0.02,0
ACSBG2,0.06,0,0.08,0.12,0.24,0.16,0
MLLT1,36.25,6.28,14.58,18.02,11.34,11.38,14.52
FUT5,0,0,0.26,0.05,0.14,0.07,0.41
BMP15,0,0,0,0,0,0,0
AFDN,8.52,14.64,70.37,71.46,22.93,8.54,65.43
ACTN4,306.01,525.22,175.35,326.9,183.06,139.75,801.55
STK33,0.05,4.21,3.07,0,0,0,6.61
NDUFA10,49.82,93.4,139.62,119.68,174.94,96.48,113.11
EPO,0.04,0.02,7.45,0.02,0.03,0.1,0
ARPC1B,304.78,172.23,105.71,305.4,426.89,408.01,422.24
CACNG6,0.53,4.93,0,0.17,0.12,0.11,0.41
ZSWIM6,9.82,6.72,0.57,3.64,6.11,2.3,6.74
FCHO1,0.55,6.97,3.54,0.9,7.87,11.44,10.62
UNC13A,0.74,0.94,0.07,0.02,0.07,0.02,0.12
MAP1S,31.69,9.08,10.6,9.52,5.86,12.01,23.74
KLHDC7B,0,0,0.06,0,0.13,0.06,0
PXDN,13.71,2.31,0.1,0.46,18.59,49.78,0.49
SSBP4,55.51,11.59,21.33,18.28,30.43,22.9,34.59
GDF15,6.02,18.29,394.23,114.17,114.62,63.65,379.04
PGPEP1,8.21,3.71,15.8,11.49,9.96,2.33,12.74
IQCN,0.07,0.29,0.05,0.24,1.03,0.21,1.25
LSM4,209.13,105.56,102,208.4,220.33,164.58,195.99
JUND,40.12,7.88,81.85,34.49,59.05,8.5,71.06
HRC,0.03,0.01,7.28,0.04,0.1,0,0.02
TRPM4,9.13,4.19,2.98,27.51,25.36,17.27,11.03
OR11H1,0,0,0,0,0,0,0
SULT4A1,0,0.02,0.01,0.01,0.01,0.02,0.17
ZNF557,3.14,2.01,0.92,1.66,1.29,2.36,2.56
CRB3,0.05,2.29,19.58,30.65,16.71,21.54,27.95
OLFM1,0.01,2.6,0.01,0.07,72.87,0.18,0.33
CAMSAP1,12.27,9.01,6.92,13.4,13.35,4.98,19.31
UBAC1,36.08,30,16.25,23.38,27.32,23.74,47.03
SAG,0,0,0,0,0.17,0.16,0
ZBTB46,1.29,0.45,2.96,1.12,4.81,1.02,4.31
HELZ2,6.74,1.71,6.75,11.23,20.75,8.07,26.49
SAMD10,2.2,0.09,8,20.26,8.4,5.02,7.86
LSP1,0.13,0.19,0.36,0.23,0.18,0.1,4.03
TNNT3,0,0.06,0.04,0.1,0.07,0,0.41
TNNI2,0,0,2.94,3.71,0.2,0.24,5.6
H19,3.87,28.3,0.86,0.76,20.84,0.43,129.19
CYP2G1P,0,0.03,0,0.01,0.07,0,0
COL5A1,4.91,28.46,0.01,0.01,3.16,4.03,0.58
ATXN10,26.8,72.56,41.28,23.84,29.33,41.04,66.09
TUBGCP2,40.11,35.52,21.39,41.02,42.44,31.21,76
CALY,0,0.42,0.2,0.16,0.04,0.05,0.96
CYP2E1,1.61,0.1,0.18,0.24,0.86,3.58,0.26
PNPLA7,1.41,0.19,0.86,0.54,1.35,0.26,0.83
HBZ,0.04,0,0,0,0,0,0
PAK4,47.22,36.59,38.21,83.77,111.57,16.05,91.41
MNX1,1.33,1.2,3.97,9.36,3.04,0.3,3.59
ZNF337,10.44,12.18,8.25,7.51,12.52,7.8,6.92
CEP85,23.18,13.06,11.56,20.52,20.52,15.41,15.24
TAF4,14.47,6.38,16.87,21.62,25.03,5.94,17.57
GATA5,0,0.16,0.1,0.02,0,0.02,1.55
RBBP8NL,0,0.01,0.34,7.18,5.76,1.31,5.17
LAMA5,14.83,91.51,143.86,170.72,96.37,151.16,354.97
OSBPL2,11.33,6.34,16.79,28.16,39.59,13.66,22.55
ADRM1,359.59,137.27,177.48,254.41,395.97,189.98,175.62
ASS1,0.89,6.1,46.11,16.09,616.54,17.02,200.21
PRDM12,0.03,0.09,0.18,0.14,0.26,0.05,0.07
EXOSC2,86.56,56.88,29.01,49.53,55.11,26.76,63.58
POMT1,16.66,13.57,10.89,11.09,25.58,17.54,10.6
UCK1,37.76,16.56,14.44,15.15,21.37,13.31,26.21
FIBCD1,0.36,1.7,0.67,0.26,12.83,2.1,4.54
CHMP2A,198.15,152.88,45.58,198.69,173.93,123.11,82.25
UBE2M,112.51,85.99,30.33,86.28,77.23,89.16,47.28
TRIM28,474.69,486.41,221.37,369.93,507.12,345.75,255.46
METTL26,104.82,21.51,53.93,90.06,122,65.15,18.6
YIPF2,64.61,11.04,35.64,49.84,115.69,76.64,65.85
ATG4D,21.9,6.84,10.62,10.35,24.15,21.17,38.26
EIF2S3,366.53,200.29,147.3,200.68,178.86,102.77,182.47
TMEM160,5.24,4.25,16.37,50.52,14.32,6.48,3.37
ZC3H4,19.71,8.21,10.14,21.12,17.24,4.18,19.55
